"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2"
714726858,"Attrited Customer",31,"F",0,"Post-Graduate","Divorced","Less than $40K","Blue",36,6,3,3,4871,0,4871,0.89,2773,34,0.789,0,0.99674,0.00326213
709749483,"Existing Customer",40,"F",2,"Graduate","Unknown","Less than $40K","Blue",29,5,1,2,2636,1953,683,0.916,4584,70,0.591,0.741,5.5077e-05,0.99994
710926383,"Existing Customer",32,"F",2,"Post-Graduate","Married","$40K - $60K","Blue",24,5,3,1,1553,1177,376,0.638,4549,68,0.659,0.758,0.00012764,0.99987
717172308,"Attrited Customer",45,"F",3,"High School","Married","$40K - $60K","Blue",37,4,2,4,3304,0,3304,0.532,1731,32,0.28,0,0.99697,0.00302546
771795933,"Attrited Customer",49,"M",4,"Unknown","Single","$120K +","Blue",38,3,3,4,34516,2517,31999,0.7,2376,55,0.486,0.073,0.99832,0.00167742
785024808,"Existing Customer",53,"F",1,"High School","Single","Less than $40K","Blue",47,6,2,3,3378,2134,1244,0.541,4464,83,0.93,0.632,0.00017468,0.99983
710277183,"Existing Customer",34,"F",3,"Uneducated","Single","$40K - $60K","Blue",27,3,2,4,2313,1775,538,0.773,4317,68,0.545,0.767,0.00034841,0.99965
714647808,"Existing Customer",49,"F",0,"Graduate","Single","Less than $40K","Blue",39,4,3,0,2434,0,2434,0.788,4628,73,0.622,0,5.694e-05,0.99994
709857033,"Existing Customer",60,"F",1,"College","Single","$40K - $60K","Blue",50,5,1,3,1438.3,0,1438.3,0.578,4148,84,0.714,0,8.4537e-05,0.99992
714283458,"Existing Customer",40,"M",2,"College","Single","$80K - $120K","Blue",36,5,1,4,14544,0,14544,0.768,4064,92,0.769,0,0.00015365,0.99985
