card_category,credit_limit,customer_age,dependent_count,education_level,gender=F,gender=M,income_category,marital_status,months_on_book,total_relationship_count,total_revolving_bal
0.0,2991.0,48.0,3.0,5.0,1.0,0.0,4.0,2.0,39.0,4.0,1508.0
0.0,2192.0,59.0,1.0,5.0,0.0,1.0,4.0,2.0,53.0,5.0,1569.0
0.0,1734.0,37.0,2.0,2.0,1.0,0.0,4.0,0.0,36.0,4.0,987.0
0.0,4786.0,47.0,3.0,1.0,0.0,1.0,1.0,0.0,36.0,4.0,1516.0
0.0,3714.0,42.0,3.0,6.0,0.0,1.0,3.0,2.0,33.0,3.0,2170.0
0.0,7636.0,65.0,1.0,2.0,0.0,1.0,4.0,2.0,56.0,5.0,0.0
0.0,10273.0,52.0,3.0,6.0,1.0,0.0,5.0,2.0,36.0,3.0,1657.0
1.0,34516.0,58.0,2.0,3.0,1.0,0.0,5.0,0.0,36.0,5.0,1864.0
0.0,10467.0,35.0,1.0,1.0,0.0,1.0,1.0,2.0,24.0,6.0,1961.0
0.0,25190.0,48.0,4.0,0.0,0.0,1.0,3.0,1.0,32.0,5.0,0.0
0.0,14041.0,38.0,2.0,2.0,1.0,0.0,5.0,2.0,31.0,2.0,2154.0
0.0,1950.0,41.0,3.0,5.0,0.0,1.0,2.0,1.0,30.0,3.0,1618.0
0.0,2796.0,49.0,2.0,2.0,1.0,0.0,4.0,1.0,39.0,3.0,1035.0
0.0,1801.0,46.0,3.0,3.0,1.0,0.0,4.0,1.0,39.0,3.0,316.0
0.0,2317.0,41.0,2.0,2.0,0.0,1.0,2.0,2.0,30.0,3.0,1232.0
0.0,2259.0,46.0,3.0,2.0,0.0,1.0,1.0,3.0,34.0,3.0,1346.0
0.0,3862.0,50.0,4.0,0.0,1.0,0.0,5.0,1.0,36.0,6.0,0.0
0.0,2609.0,64.0,0.0,3.0,1.0,0.0,4.0,2.0,56.0,6.0,1115.0
0.0,13734.0,46.0,4.0,0.0,0.0,1.0,3.0,1.0,34.0,5.0,568.0
0.0,4949.0,49.0,2.0,6.0,1.0,0.0,1.0,3.0,42.0,6.0,1495.0
0.0,13650.0,42.0,5.0,6.0,0.0,1.0,2.0,1.0,35.0,6.0,1253.0
0.0,2271.0,47.0,2.0,5.0,1.0,0.0,4.0,2.0,42.0,3.0,2154.0
0.0,1438.3,48.0,2.0,0.0,1.0,0.0,4.0,1.0,36.0,4.0,0.0
0.0,5400.0,49.0,3.0,2.0,1.0,0.0,1.0,2.0,32.0,1.0,1426.0
0.0,2067.0,43.0,4.0,1.0,0.0,1.0,2.0,3.0,33.0,4.0,1250.0
0.0,14450.0,44.0,1.0,5.0,0.0,1.0,2.0,1.0,36.0,5.0,2440.0
0.0,4366.0,56.0,2.0,2.0,1.0,0.0,4.0,1.0,48.0,6.0,1590.0
0.0,4806.0,54.0,3.0,3.0,1.0,0.0,5.0,0.0,36.0,3.0,0.0
1.0,34516.0,48.0,4.0,0.0,0.0,1.0,2.0,1.0,33.0,2.0,2061.0
0.0,2207.0,61.0,0.0,2.0,1.0,0.0,4.0,2.0,36.0,5.0,2020.0
0.0,7791.0,48.0,2.0,2.0,1.0,0.0,5.0,0.0,43.0,2.0,1472.0
0.0,1876.0,39.0,1.0,2.0,1.0,0.0,4.0,2.0,26.0,3.0,1536.0
0.0,7935.0,45.0,4.0,2.0,0.0,1.0,1.0,2.0,35.0,3.0,888.0
0.0,4701.0,36.0,2.0,4.0,1.0,0.0,4.0,1.0,25.0,5.0,1492.0
0.0,2422.0,50.0,1.0,2.0,1.0,0.0,4.0,2.0,36.0,1.0,502.0
0.0,8322.0,47.0,1.0,2.0,1.0,0.0,4.0,1.0,36.0,4.0,0.0
0.0,2650.0,53.0,2.0,0.0,1.0,0.0,4.0,1.0,38.0,5.0,1490.0
0.0,1438.3,48.0,4.0,6.0,0.0,1.0,2.0,0.0,31.0,4.0,0.0
0.0,11699.0,37.0,2.0,3.0,0.0,1.0,1.0,2.0,24.0,6.0,1758.0
0.0,2074.0,63.0,0.0,3.0,1.0,0.0,4.0,2.0,36.0,4.0,1688.0
0.0,8638.0,38.0,1.0,5.0,1.0,0.0,4.0,2.0,27.0,6.0,0.0
0.0,34516.0,52.0,2.0,3.0,0.0,1.0,0.0,2.0,43.0,3.0,761.0
0.0,5448.0,48.0,3.0,3.0,0.0,1.0,2.0,1.0,39.0,4.0,0.0
0.0,1616.0,61.0,0.0,2.0,0.0,1.0,2.0,1.0,54.0,3.0,1047.0
0.0,10226.0,50.0,4.0,6.0,0.0,1.0,2.0,1.0,36.0,5.0,1638.0
0.0,1944.0,42.0,4.0,3.0,0.0,1.0,3.0,2.0,28.0,3.0,1804.0
0.0,2596.0,42.0,1.0,2.0,0.0,1.0,2.0,2.0,37.0,4.0,1210.0
1.0,34516.0,44.0,4.0,3.0,0.0,1.0,2.0,2.0,29.0,1.0,1930.0
0.0,8983.0,45.0,5.0,2.0,0.0,1.0,2.0,1.0,38.0,5.0,0.0
0.0,4147.0,60.0,0.0,3.0,1.0,0.0,4.0,1.0,36.0,1.0,2262.0
0.0,1438.3,43.0,3.0,0.0,0.0,1.0,2.0,1.0,36.0,2.0,0.0
0.0,2700.0,45.0,4.0,2.0,1.0,0.0,1.0,2.0,34.0,3.0,1977.0
0.0,2028.0,54.0,4.0,6.0,1.0,0.0,4.0,1.0,41.0,3.0,0.0
0.0,2683.0,54.0,2.0,2.0,1.0,0.0,4.0,1.0,45.0,5.0,1671.0
0.0,3030.0,59.0,0.0,4.0,1.0,0.0,4.0,2.0,48.0,4.0,1251.0
0.0,13397.0,60.0,1.0,2.0,1.0,0.0,5.0,2.0,55.0,3.0,0.0
0.0,2232.0,58.0,0.0,2.0,1.0,0.0,4.0,1.0,47.0,5.0,786.0
0.0,4707.0,46.0,3.0,5.0,0.0,1.0,1.0,1.0,36.0,4.0,1121.0
0.0,3240.0,52.0,3.0,5.0,1.0,0.0,4.0,2.0,36.0,2.0,0.0
0.0,6423.0,39.0,2.0,2.0,0.0,1.0,1.0,2.0,26.0,6.0,0.0
0.0,16031.0,49.0,5.0,0.0,1.0,0.0,5.0,2.0,41.0,6.0,2245.0
3.0,12100.0,53.0,2.0,2.0,1.0,0.0,4.0,1.0,45.0,1.0,1350.0
0.0,5887.0,56.0,2.0,6.0,0.0,1.0,2.0,1.0,41.0,3.0,659.0
0.0,6733.0,39.0,3.0,2.0,0.0,1.0,2.0,2.0,29.0,4.0,1028.0
0.0,21800.0,51.0,2.0,5.0,0.0,1.0,2.0,2.0,40.0,4.0,893.0
0.0,2423.0,56.0,2.0,3.0,1.0,0.0,4.0,2.0,42.0,5.0,268.0
0.0,1438.3,45.0,4.0,1.0,1.0,0.0,4.0,1.0,27.0,3.0,0.0
0.0,1438.3,27.0,1.0,4.0,1.0,0.0,4.0,1.0,13.0,3.0,990.0
0.0,5738.0,43.0,3.0,1.0,1.0,0.0,5.0,0.0,33.0,6.0,0.0
0.0,12813.0,54.0,1.0,3.0,0.0,1.0,3.0,2.0,36.0,1.0,1998.0
0.0,7340.0,42.0,2.0,0.0,0.0,1.0,2.0,1.0,28.0,6.0,0.0
0.0,21961.0,43.0,2.0,2.0,1.0,0.0,5.0,1.0,25.0,4.0,0.0
0.0,34516.0,53.0,3.0,2.0,0.0,1.0,3.0,2.0,36.0,4.0,2517.0
0.0,18889.0,32.0,1.0,2.0,0.0,1.0,5.0,2.0,26.0,6.0,1880.0
0.0,2923.0,56.0,1.0,3.0,1.0,0.0,4.0,2.0,43.0,3.0,1934.0
0.0,4216.0,54.0,3.0,4.0,0.0,1.0,1.0,2.0,44.0,2.0,1290.0
0.0,14607.0,58.0,4.0,2.0,0.0,1.0,2.0,1.0,36.0,3.0,1480.0
0.0,19198.0,39.0,4.0,3.0,0.0,1.0,2.0,1.0,32.0,4.0,2218.0
0.0,2670.0,41.0,2.0,2.0,1.0,0.0,4.0,2.0,29.0,4.0,2079.0
0.0,3276.0,51.0,3.0,2.0,1.0,0.0,4.0,2.0,36.0,1.0,1474.0
